segment_id,total_crashes,mean_rain_mm,mean_temp_c,mean_visibility_km,dominant_weather
0,60,1.1405812326851361,33.59267141400949,13.516310560807765,clear
1,86,1.2515154190631828,33.25972465727977,13.252367592544369,clear
2,96,1.2412409299116345,33.2635903886209,13.40207395418152,clear
3,46,0.9513339485172659,33.49638327355551,13.808732447312101,clear
4,129,1.5337646530636753,33.68263559633605,13.23503902479485,clear
5,41,1.0427978536410678,33.23159889847725,13.682846291928913,clear
6,125,1.3714216182933068,33.90087963553097,13.226872593950175,clear
7,97,1.119615818996137,33.66446803686038,13.618867400772777,clear
8,44,1.083561104297148,33.303455888970284,13.856949817514119,clear
9,62,1.03276805982242,33.57201674937889,13.53801676098093,clear
10,103,1.2835589450019826,33.42453430599807,13.764004349659245,clear
11,56,1.0765702042543837,33.51525889879956,13.363096122076863,clear
12,104,1.3630601643111822,33.22527094002032,13.354338253034028,clear
13,85,1.009079915904883,33.40179324627152,13.379487244158707,clear
14,82,1.032162785158068,33.85516667276797,13.722372142188847,clear
15,114,1.1053768164213433,33.632673064541706,13.119564085451534,clear
16,76,1.020734937843035,33.22490807029382,13.515504912153459,clear
17,79,1.2760461926008921,33.403677391043445,13.371287484179874,clear
18,74,1.1437058770196629,33.48298677310909,13.494720854134824,clear
19,56,1.2137861246489328,33.21087569259532,13.669483206915247,clear
20,50,0.9808262164105936,33.06362050189801,13.570133709826775,clear
21,57,1.009778035442213,33.27382260764859,13.578793259812171,clear
22,58,1.0181382859398411,33.89333334510717,13.802851872643807,clear
23,47,1.177877137546094,33.2224690220727,14.023246188116076,clear
24,58,1.0458524091802717,33.502915061978996,13.981598590306373,clear
25,66,1.0482111838245904,33.35711055345627,13.766695314525753,clear
26,155,1.1579296674159925,33.29916053420938,13.188326399183584,clear
27,120,1.294767953657974,33.17998300829824,13.363814579387281,clear
28,42,0.9427897937714624,33.323257092994766,13.711151530027234,clear
29,45,0.9254970373790131,33.182376611915366,13.61408271405254,clear
30,105,1.260894016098804,33.380638488898974,13.469065049526249,clear
31,44,0.7934968681997525,33.44336251575659,14.054137623723188,clear
32,35,0.8147701535615444,33.49654392896157,13.520331853139947,clear
33,105,1.1884053063103401,33.81148939249363,13.102302043600046,clear
34,48,1.0421129989971774,33.282063519038566,13.395346522379267,clear
35,105,1.1838570365881238,33.141337110463546,13.49916940539876,clear
36,41,0.9795394306482267,33.553921443350674,14.002451762681554,clear
37,55,0.84163674206104,33.27421838724171,13.467444282817274,clear
38,180,1.5874696880980597,33.63145781028538,13.279830379017978,clear
39,46,0.9340442719187902,33.09272468088586,13.756842504738637,clear
40,71,1.239906160004033,33.3034043929312,13.409083071676658,clear
41,46,0.8760646158721334,33.61532280381655,13.684529196118847,clear
42,47,1.0122286091753157,33.23724674578973,13.888676724628533,clear
43,61,1.0822418736415682,33.66775394454864,13.636883018305197,clear
44,130,1.4457299517718167,33.58521340408585,13.462221804037357,clear
45,66,0.9149575155919525,33.395393104359734,13.665763759203095,clear
46,60,1.0340829373037774,33.12010853846686,13.941686931767547,clear
47,55,1.0704707668808437,33.60245073613046,13.900515193704898,clear
48,112,1.2049080514301846,33.152987827681805,13.41434403468276,clear
49,66,0.9662220627329745,33.39985576600538,13.563363522325918,clear
50,49,0.8540245814541915,33.023641338117706,13.617850263835296,clear
51,47,0.9254996962100442,33.09423012817581,13.410457221002414,clear
52,90,1.1297194904800218,33.48155007626489,13.727097254255598,clear
53,39,0.7617867482831124,33.77202652101387,13.857295893968296,clear
54,76,1.0374636973731601,33.701480402579854,13.76343747990504,clear
55,54,1.2428536763702835,33.207675738674844,12.93844400494192,clear
56,84,1.1307928822721525,33.56997290492776,13.715254457857482,clear
57,74,1.10205984489152,33.440171593044354,13.37635025612658,clear
58,57,1.0427640471439996,33.613568603725845,13.901439470847224,clear
59,45,1.016541248332321,33.556848740063955,13.86461771862883,clear
60,47,0.8522624459065653,33.33564348325584,13.292396451585432,clear
61,62,1.2117107177942052,33.703831633383246,13.620332505071046,clear
62,47,0.8080279454992313,32.68776222469195,13.928798422447986,clear
